,StartTimestamp,DurationHours,GridLoadLevel,UserChargingPreference,PricingTier,ChargingStationAvailability
0,2024-01-31 22:07:08.051067,3.8203422619845235,Low,Standard Charge,Off-Peak,Medium
1,2024-01-31 22:07:08.051067,1.5210842266982758,High,Standard Charge,Off-Peak,High
2,2024-01-31 05:07:08.051067,1.302283852456378,High,Standard Charge,Off-Peak,High
3,2024-01-31 14:07:08.051067,1.2882995041724712,Low,Standard Charge,Peak,High
4,2024-01-31 08:07:08.051067,1.0698322781000171,Low,Fast Charge,Peak,Low
5,2024-01-30 23:07:08.051067,3.7877716812708004,Medium,Standard Charge,Off-Peak,High
6,2024-01-31 07:07:08.051067,3.0300593782172762,Low,Standard Charge,Mid-Peak,High
7,2024-01-31 04:07:08.051067,0.7942912301734777,Low,Fast Charge,Off-Peak,Low
8,2024-01-31 13:07:08.051067,3.511142541846245,Medium,Fast Charge,Peak,Low
9,2024-01-31 07:07:08.051067,2.994058797106079,Medium,Fast Charge,Mid-Peak,Low
10,2024-01-31 19:07:08.051067,2.028825367803468,High,Standard Charge,Off-Peak,Low
11,2024-01-31 12:07:08.051067,2.1409902341021447,High,Standard Charge,Mid-Peak,Medium
12,2024-01-31 16:07:08.051067,2.9566248032209432,Low,Fast Charge,Mid-Peak,Medium
13,2024-01-31 08:07:08.051067,1.846137095762597,Low,Standard Charge,Mid-Peak,High
14,2024-01-31 00:07:08.051067,1.1760740695035063,Low,Standard Charge,Off-Peak,Medium
15,2024-01-31 06:07:08.051067,2.3342386837466753,Medium,Fast Charge,Mid-Peak,Medium
16,2024-01-31 14:07:08.051067,0.6593796216552568,Medium,Standard Charge,Peak,Low
17,2024-01-31 04:07:08.051067,2.725713059246775,Medium,Standard Charge,Off-Peak,Medium
18,2024-01-31 17:07:08.051067,3.418006663355272,Medium,Fast Charge,Mid-Peak,Low
19,2024-01-31 10:07:08.051067,2.9827880474455966,Medium,Fast Charge,Mid-Peak,High
20,2024-01-31 15:07:08.051067,2.50490388138219,High,Fast Charge,Mid-Peak,Medium
21,2024-01-31 20:07:08.051067,2.878863301222662,High,Fast Charge,Off-Peak,Low
22,2024-01-31 19:07:08.051067,2.7153978582638367,Low,Fast Charge,Off-Peak,Medium
23,2024-01-31 17:07:08.051067,1.5390665137210788,High,Standard Charge,Peak,Medium
24,2024-01-30 23:07:08.051067,0.7303077737057948,High,Standard Charge,Off-Peak,Medium
25,2024-01-31 09:07:08.051067,1.5203777911846679,Low,Standard Charge,Mid-Peak,Low
26,2024-01-31 13:07:08.051067,0.5848621769421865,Low,Standard Charge,Mid-Peak,Low
27,2024-01-31 12:07:08.051067,2.297437501485294,Medium,Standard Charge,Peak,Medium
28,2024-01-31 20:07:08.051067,2.074653431999781,Low,Fast Charge,Off-Peak,Low
29,2024-01-31 08:07:08.051067,2.29632630519488,High,Fast Charge,Peak,Low
30,2024-01-31 02:07:08.051067,3.0258917428988483,Low,Standard Charge,Off-Peak,Low
31,2024-01-31 22:07:08.051067,3.1329933797765017,Medium,Fast Charge,Off-Peak,Low
32,2024-01-31 22:07:08.051067,2.568737169533665,Medium,Fast Charge,Off-Peak,High
33,2024-01-30 23:07:08.051067,3.3795331741129964,Medium,Fast Charge,Off-Peak,High
34,2024-01-31 12:07:08.051067,3.663088224222324,Medium,Standard Charge,Peak,Low
35,2024-01-31 02:07:08.051067,0.7161881739708995,Low,Fast Charge,Off-Peak,Low
36,2024-01-31 05:07:08.051067,1.0353418007766062,Medium,Fast Charge,Off-Peak,Low
37,2024-01-30 23:07:08.051067,3.469943563663821,Low,Fast Charge,Off-Peak,Low
38,2024-01-31 12:07:08.051067,2.682933279594658,Low,Standard Charge,Peak,Medium
39,2024-01-31 03:07:08.051067,1.7270073567376967,High,Standard Charge,Off-Peak,High
40,2024-01-31 19:07:08.051067,1.777245872378378,High,Standard Charge,Off-Peak,High
41,2024-01-31 21:07:08.051067,2.1408283413287164,High,Fast Charge,Off-Peak,Low
42,2024-01-31 13:07:08.051067,0.9076189956367479,Medium,Standard Charge,Peak,High
43,2024-01-31 00:07:08.051067,2.16117885429008,Medium,Standard Charge,Off-Peak,Medium
44,2024-01-31 22:07:08.051067,3.494798307865911,Low,Fast Charge,Off-Peak,Medium
45,2024-01-31 06:07:08.051067,3.7876746154577026,Low,Standard Charge,Peak,Medium
46,2024-01-31 09:07:08.051067,2.4976800827149632,High,Fast Charge,Peak,Medium
47,2024-01-31 11:07:08.051067,1.4009971462356745,High,Fast Charge,Peak,High
48,2024-01-31 00:07:08.051067,1.872421682740636,Medium,Standard Charge,Off-Peak,Medium
49,2024-01-31 04:07:08.051067,1.3038332523855511,High,Standard Charge,Off-Peak,Medium
50,2024-01-31 08:07:08.051067,0.5630611257144897,Low,Standard Charge,Mid-Peak,Low
51,2024-01-31 21:07:08.051067,0.9486273651172323,Low,Fast Charge,Off-Peak,Medium
52,2024-01-31 00:07:08.051067,1.6626132135886333,Low,Fast Charge,Off-Peak,High
53,2024-01-31 14:07:08.051067,3.9919710634886605,High,Fast Charge,Peak,Low
54,2024-01-31 15:07:08.051067,3.884657870730902,Low,Standard Charge,Peak,High
55,2024-01-31 13:07:08.051067,3.0514523292155156,High,Standard Charge,Mid-Peak,Low
56,2024-01-31 21:07:08.051067,0.5600407019421803,High,Fast Charge,Off-Peak,High
57,2024-01-31 04:07:08.051067,3.802059867006682,High,Fast Charge,Off-Peak,High
58,2024-01-31 12:07:08.051067,3.8630266958178665,Low,Fast Charge,Mid-Peak,Low
59,2024-01-31 07:07:08.051067,2.898953488297043,Medium,Fast Charge,Peak,Low
60,2024-01-31 06:07:08.051067,2.278174995937274,Low,Standard Charge,Peak,Low
61,2024-01-31 14:07:08.051067,1.4549652875923516,Low,Standard Charge,Mid-Peak,High
62,2024-01-31 19:07:08.051067,3.348345585081987,Medium,Fast Charge,Off-Peak,Medium
63,2024-01-31 12:07:08.051067,1.8340765702073791,Medium,Fast Charge,Peak,High
64,2024-01-31 09:07:08.051067,2.54273186323795,High,Fast Charge,Mid-Peak,High
65,2024-01-31 01:07:08.051067,2.212937543100814,Medium,Fast Charge,Off-Peak,High
66,2024-01-31 18:07:08.051067,3.056753540667298,High,Standard Charge,Peak,Low
67,2024-01-31 22:07:08.051067,2.786674881817864,Low,Standard Charge,Off-Peak,Low
68,2024-01-30 23:07:08.051067,2.640026758837124,Low,Standard Charge,Off-Peak,High
69,2024-01-31 15:07:08.051067,2.879878651562282,Low,Standard Charge,Mid-Peak,Low
70,2024-01-31 17:07:08.051067,3.321025704524753,High,Standard Charge,Mid-Peak,Medium
71,2024-01-31 19:07:08.051067,3.207111342344554,Medium,Standard Charge,Off-Peak,High
72,2024-01-31 21:07:08.051067,3.052514904434534,High,Fast Charge,Off-Peak,High
73,2024-01-31 04:07:08.051067,2.2861020365246603,Low,Fast Charge,Off-Peak,High
74,2024-01-31 02:07:08.051067,2.8116065144050357,High,Standard Charge,Off-Peak,Low
75,2024-01-31 01:07:08.051067,3.1785397438207443,Medium,Fast Charge,Off-Peak,Low
76,2024-01-31 21:07:08.051067,2.981410967768763,Medium,Fast Charge,Off-Peak,High
77,2024-01-31 14:07:08.051067,2.9968296734623716,Medium,Fast Charge,Mid-Peak,Medium
78,2024-01-31 04:07:08.051067,3.471263441732811,Medium,Standard Charge,Off-Peak,Low
79,2024-01-31 11:07:08.051067,3.7993232413059554,High,Standard Charge,Peak,Medium
80,2024-01-31 16:07:08.051067,2.916299726977863,Low,Standard Charge,Mid-Peak,Low
81,2024-01-31 00:07:08.051067,2.042923387037174,Low,Fast Charge,Off-Peak,High
82,2024-01-31 00:07:08.051067,3.598010902994645,Medium,Fast Charge,Off-Peak,High
83,2024-01-31 02:07:08.051067,3.444578135688623,High,Fast Charge,Off-Peak,Low
84,2024-01-31 05:07:08.051067,3.4368524787074626,Low,Standard Charge,Off-Peak,Medium
85,2024-01-31 08:07:08.051067,2.3254722429994215,Low,Standard Charge,Mid-Peak,High
86,2024-01-31 01:07:08.051067,1.2215767938655568,High,Fast Charge,Off-Peak,High
87,2024-01-31 17:07:08.051067,3.682604241765607,Medium,Standard Charge,Peak,Medium
88,2024-01-31 22:07:08.051067,2.9435780500218436,Medium,Standard Charge,Off-Peak,High
89,2024-01-31 01:07:08.051067,1.4176865064582223,Medium,Fast Charge,Off-Peak,Medium
90,2024-01-31 00:07:08.051067,3.4592265716883834,Low,Fast Charge,Off-Peak,Medium
91,2024-01-31 15:07:08.051067,1.612957382003568,Medium,Standard Charge,Peak,Medium
92,2024-01-31 18:07:08.051067,1.812774033365018,Low,Standard Charge,Mid-Peak,High
93,2024-01-31 08:07:08.051067,2.7533579889923945,High,Standard Charge,Mid-Peak,Medium
94,2024-01-31 01:07:08.051067,0.5101200422653082,High,Fast Charge,Off-Peak,Medium
